Stock,Expiry,Strike,Ask,OpenInterest,Volume,IV,DTE,Tags,Action,Score
NVDA,2026-05-29,217.5,0.01,47640,518867,26.95385546875,-1,🎲末日結算 🚨異常掃貨 🚀點火(3.2x) 🚬菸屁股 🔥萬人塚,GAMBLE,9
F,2026-07-17,19.0,0.76,7860,16170,51.27001855468749,48,🚨異常掃貨 🚀點火(3.0x) 🚬菸屁股,STRONG_BUY,9
PATH,2026-08-21,14.0,0.89,3540,5179,73.7307314453125,83,🚨異常掃貨 🚀點火(14.1x) 🚬菸屁股,STRONG_BUY,9
HOOD,2026-07-17,150.0,0.7,2277,4426,75.195560546875,48,🚨異常掃貨 🚀點火(23.2x) 🚬菸屁股,STRONG_BUY,9
SOFI,2026-08-21,31.0,0.25,1037,1623,74.2190078125,83,🚨異常掃貨 🚀點火(202.9x) 🚬菸屁股,STRONG_BUY,9
PLTR,2026-07-17,155.0,13.14,7073,19781,52.966778930664084,48,🚨異常掃貨 🚀點火(6.9x),STRONG_BUY,8
INTC,2026-08-21,150.0,8.72,11747,17291,87.60998718261719,83,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
DVN,2026-07-17,45.0,2.27,4028,12738,38.867798828125,48,🚨異常掃貨 🚀點火(8.5x),STRONG_BUY,8
SMCI,2026-07-17,60.0,2.2,3684,10267,90.99130102539061,48,🚨異常掃貨 🚀點火(14.0x),STRONG_BUY,8
SMCI,2026-07-17,65.0,1.51,2465,10151,92.82233740234375,48,🚨異常掃貨 🚀點火(6.1x),STRONG_BUY,8
OKLO,2026-07-17,80.0,5.31,2500,8361,99.53613745117188,48,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
NOW,2026-07-17,150.0,4.49,2434,7039,67.7859666748047,48,🚨異常掃貨 🚀點火(6.2x),STRONG_BUY,8
F,2026-09-18,19.0,1.33,2936,6752,50.24463818359376,111,🚨異常掃貨 🚀點火(3.4x),STRONG_BUY,8
PLTR,2026-07-17,170.0,7.4,5020,6483,54.21188366699221,48,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
SOFI,2026-09-18,40.0,0.17,30079,5495,78.9064609375,111,🚀點火(499.5x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
HOOD,2026-07-17,140.0,1.0,3144,3910,74.04811108398437,48,🚨異常掃貨 🚀點火(22.5x),STRONG_BUY,8
DVN,2026-07-17,50.0,0.82,45631,3385,42.60311303710938,48,🚀點火(4.4x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
SMCI,2026-08-21,65.0,3.23,2185,3181,94.77544287109374,83,🚨異常掃貨 🚀點火(5.2x),STRONG_BUY,8
META,2026-07-17,770.0,3.35,1004,3142,37.46400427246094,48,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
CRWV,2026-07-17,155.0,3.48,1170,2355,90.64950756835937,48,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
ORCL,2026-07-17,350.0,3.55,897,1897,86.67005517578124,48,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
SMR,2026-08-21,14.0,2.2,1420,1747,113.76996240234377,83,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
NVDA,2028-01-21,250.0,40.38,34018,671,50.12256909179689,601,🚀點火(3.6x) 🔭LEAPS 🔥萬人塚,BUY_WATCH,8
NVDA,2028-01-21,400.0,15.2,50094,359,49.43593045043946,601,🚀點火(10.0x) 🔭LEAPS 🔥萬人塚,BUY_WATCH,8
TSLA,2026-05-29,440.0,0.01,12165,314571,9.37590625,-1,🎲末日結算 🚨異常掃貨 🚀點火(3.2x) 🚬菸屁股,GAMBLE,7
TSLA,2026-05-29,435.0,0.67,11760,228949,0.0010000000000000002,-1,🎲末日結算 🚨異常掃貨 🚀點火(8.0x) 🚬菸屁股,GAMBLE,7
AMZN,2026-05-29,275.0,0.01,18058,88603,14.063359375000001,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
MSFT,2026-05-29,450.0,0.32,13782,72662,1.8564501953125003,-1,🎲末日結算 🚨異常掃貨 🚀點火(6.1x) 🚬菸屁股,GAMBLE,7
AMZN,2026-05-29,272.5,0.03,12778,69832,7.7157666015625015,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
SOFI,2026-05-29,19.0,0.01,14104,57843,48.438015625000006,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
SOFI,2026-05-29,18.5,0.01,5573,56145,22.657023437499998,-1,🎲末日結算 🚨異常掃貨 🚀點火(35.4x) 🚬菸屁股,GAMBLE,7
NOW,2026-05-29,125.0,0.05,2593,54727,12.305564453125001,-1,🎲末日結算 🚨異常掃貨 🚀點火(60.9x) 🚬菸屁股,GAMBLE,7
SMCI,2026-05-29,47.0,0.01,4825,54722,21.87578125,-1,🎲末日結算 🚨異常掃貨 🚀點火(16.8x) 🚬菸屁股,GAMBLE,7
SMCI,2026-05-29,48.0,0.01,7654,53478,40.62559375,-1,🎲末日結算 🚨異常掃貨 🚀點火(6.2x) 🚬菸屁股,GAMBLE,7
SMCI,2026-05-29,50.0,0.03,6086,49908,65.62534375000001,-1,🎲末日結算 🚨異常掃貨 🚀點火(4.6x) 🚬菸屁股,GAMBLE,7
HOOD,2026-05-29,100.0,0.01,3802,46000,50.0005,-1,🎲末日結算 🚨異常掃貨 🚀點火(53.3x) 🚬菸屁股,GAMBLE,7
SOFI,2026-05-29,18.0,0.24,15049,45165,35.1568984375,-1,🎲末日結算 🚨異常掃貨 🚀點火(2.5x) 🚬菸屁股,GAMBLE,7
ORCL,2026-05-29,225.0,0.86,3757,44997,14.209842285156249,-1,🎲末日結算 🚨異常掃貨 🚀點火(12.5x) 🚬菸屁股,GAMBLE,7
ASTS,2026-05-29,115.0,0.01,2435,43639,14.063359375000001,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
ASTS,2026-05-29,120.0,0.01,20985,43588,46.87553125,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
META,2026-05-29,635.0,0.03,3203,43321,4.493142578125,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
MSTR,2026-05-29,160.0,0.06,8926,42397,16.1141201171875,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
F,2026-05-29,18.0,0.01,2511,38498,39.063109374999996,-1,🎲末日結算 🚨異常掃貨 🚀點火(71.3x) 🚬菸屁股,GAMBLE,7
HOOD,2026-05-29,95.0,0.04,1497,38131,15.039912109375003,-1,🎲末日結算 🚨異常掃貨 🚀點火(34.4x) 🚬菸屁股,GAMBLE,7
SMCI,2026-05-29,46.0,0.16,2343,36275,21.094539062499997,-1,🎲末日結算 🚨異常掃貨 🚀點火(10.6x) 🚬菸屁股,GAMBLE,7
HIMS,2026-05-29,26.5,0.01,3223,35505,18.7508125,-1,🎲末日結算 🚨異常掃貨 🚀點火(37.9x) 🚬菸屁股,GAMBLE,7
F,2026-05-29,17.5,0.01,5321,34467,11.7196328125,-1,🎲末日結算 🚨異常掃貨 🚀點火(3.4x) 🚬菸屁股,GAMBLE,7
IBIT,2026-05-29,42.0,0.01,9926,31441,14.844601562500001,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
AMZN,2026-05-29,270.0,0.57,11462,26386,6.690386230468751,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
AVGO,2026-05-29,450.0,0.25,4357,25280,15.601429931640626,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
SMCI,2026-05-29,49.0,0.01,4993,23200,50.0005,-1,🎲末日結算 🚨異常掃貨 🚀點火(7.4x) 🚬菸屁股,GAMBLE,7
META,2026-05-29,640.0,0.01,11299,22561,9.571216796875001,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
META,2026-05-29,632.5,0.5,1972,22549,5.1889364013671875,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
IBM,2026-05-29,300.0,0.09,2121,21402,14.50280810546875,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
INTC,2026-05-29,121.0,0.01,6661,19899,44.5318046875,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
INTC,2026-05-29,122.0,0.01,5571,19689,50.0005,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
AMZN,2026-05-29,277.5,0.01,10709,19497,20.313296875,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
PATH,2026-05-29,11.5,0.21,9009,18762,37.500625,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
IREN,2026-05-29,63.0,0.62,2148,17636,35.742830078124996,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
ASTS,2026-05-29,125.0,0.01,8448,16045,68.7503125,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
COIN,2026-05-29,190.0,0.08,5872,15505,10.54776953125,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
NOW,2026-05-29,130.0,0.01,2527,14727,48.04739453125,-1,🎲末日結算 🚨異常掃貨 🚀點火(19.6x) 🚬菸屁股,GAMBLE,7
MSFT,2026-05-29,455.0,0.01,6556,13980,8.98528515625,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
COIN,2026-05-29,200.0,0.02,6132,13496,43.7505625,-1,🎲末日結算 🚨異常掃貨 🚀點火(3.8x) 🚬菸屁股,GAMBLE,7
CLSK,2026-05-29,17.5,0.77,5772,11673,71.87528125,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
IREN,2026-05-29,64.0,0.07,2231,11334,20.313296875,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
AMD,2026-05-29,550.0,0.02,5132,9955,43.7505625,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
COIN,2026-05-29,195.0,0.01,6190,9358,25.781992187500002,-1,🎲末日結算 🚨異常掃貨 🆕新倉暴量 🚬菸屁股,GAMBLE,7
