Stock,Expiry,Strike,Ask,OpenInterest,Volume,IV,DTE,Spot,Tags,Action,Score
IREN,2026-10-16,80.0,0.89,1346,5088,102.73486132812502,69,41.22999954223633,🚨異常掃貨 🆕新倉暴量 🚬菸屁股,STRONG_BUY,9
SOUN,2026-08-21,8.5,0.32,878,2828,77.148666015625,13,8.020000457763672,🚨異常掃貨 🆕新倉暴量 🚬菸屁股,STRONG_BUY,9
NVDA,2026-08-07,225.0,0.01,71255,615468,5.07907421875,-1,223.9600067138672,🎲末日結算 🚨異常掃貨 🚀點火(4.0x) 🚬菸屁股 🔥萬人塚 🏛️機構場,GAMBLE,8
NVDA,2026-08-07,227.5,0.01,30686,131870,14.063359375000001,-1,223.9600067138672,🎲末日結算 🚨異常掃貨 🚀點火(3.3x) 🚬菸屁股 🔥萬人塚 🏛️機構場,GAMBLE,8
DKNG,2026-11-20,37.5,0.39,73499,25119,59.766027343750004,104,24.030000686645508,🚀點火(>50x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
PLTR,2026-08-21,170.0,7.91,7205,19758,50.26905200195313,13,172.00999450683594,🚨異常掃貨 🆕新倉暴量,STRONG_BUY,8
VST,2026-08-21,165.0,0.39,51872,14530,50.39112109375,13,140.58999633789062,🆕新倉暴量 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
SOUN,2026-08-21,8.0,0.49,53925,8065,75.7814921875,13,8.020000457763672,🚀點火(9.8x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
T,2026-09-18,25.0,0.38,31556,1129,25.879647460937505,41,23.790000915527344,🚀點火(2.6x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
ONDS,2027-01-15,30.0,0.33,81245,675,115.0394873046875,160,9.109999656677246,🚀點火(9.6x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
T,2027-01-15,30.0,0.22,50698,363,27.246821289062495,160,23.790000915527344,🚀點火(10.1x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
IBIT,2027-01-15,70.0,0.17,33314,102,50.39112109375,160,36.79999923706055,🚀點火(3.9x) 🚬菸屁股 🔥萬人塚,BUY_WATCH,8
