date,price,atm_iv
2026-06-12,160.95,0.0
2026-06-13,160.95,0.0
2026-06-14,160.95,0.0
2026-06-16,201.8,1.0985
2026-06-17,191.82,0.93
2026-06-19,185.0,0.8792
2026-06-21,185.0,0.9315
2026-06-22,154.6,0.9408
2026-06-23,156.11,0.8869
2026-06-24,154.54,0.7764
2026-06-25,153.0,0.7255
2026-06-26,153.23,0.6788
2026-06-28,153.23,0.7128
2026-06-29,164.19,0.7297
2026-06-30,170.86,0.706
2026-07-01,157.54,0.7589
2026-07-02,162.0,0.7224
2026-07-03,162.0,0.7491
2026-07-05,162.0,0.7856
2026-07-06,160.42,0.7697
2026-07-07,149.47,0.7237
2026-07-08,148.3,0.7149
2026-07-09,152.16,0.6723
2026-07-10,145.3,0.6862
2026-07-12,145.3,0.7196
2026-07-13,139.14,0.7098
2026-07-14,136.08,0.7195
2026-07-15,135.27,0.686
2026-07-16,131.11,0.7121
2026-07-17,123.99,0.8717
2026-07-19,123.99,0.9142
2026-07-20,119.85,0.8971
2026-07-21,123.54,1.0564
2026-07-22,115.26,1.1639
2026-07-23,118.24,1.1795
2026-07-24,115.07,1.1661
2026-07-26,115.07,1.2231
2026-07-27,113.5,1.2666
2026-07-28,116.41,1.2692
2026-07-29,112.55,1.2415
2026-07-30,112.2,1.2274
2026-07-31,108.37,1.1471
2026-08-02,108.37,1.2026
2026-08-03,114.53,1.2871
2026-08-04,125.33,1.2991
2026-08-05,108.27,0.9928
2026-08-07,133.11,0.8786
2026-08-09,133.11,0.9215
2026-08-10,138.74,0.7987
2026-08-11,133.29,0.7002
2026-08-12,146.15,0.7225
2026-08-13,141.29,0.6697
2026-08-14,140.0,0.627
2026-08-16,140.0,0.6576
2026-08-17,146.23,0.6606
2026-08-18,143.34,0.6475
2026-08-19,139.65,0.6248
2026-08-20,134.0,0.6327
